"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa-bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"1",1,0.558589422724258,1.1943375157929,0.784927680797259,0.122736564982196,-0.955094708790941,-0.31039282325482,-0.327013020988021,0.377124663073136,0.0376892445115362,-0.47511061681379,-0.900601127493921,0.324935677297828,0.296749450882172,0.348692383786651,-0.00113828910155124,0.561505337999077,-0.619088627290732,-1.34852666552719,-0.536883052738275
"2",2,1.0502438725356,1.81458719035208,1.31685551659166,0.75906228573811,-1.67341139426918,-0.0925018758925238,-0.624612504363406,-0.0927558220739481,0.202986649452828,-0.506916799442978,-0.943749736826281,1.0596962262569,0.0855677901480568,0.012697842632055,-0.169343678795967,0.685358209744291,-0.71133101052912,-2.10246566738491,-0.580597879594912
"3",3,0.0844575961535497,0.729577833371772,0.402936230138042,-0.018439996811075,-0.409533127795469,-0.533841169760123,-0.186278447797423,0.376155683978113,-0.374777472796571,-0.529726271586437,-1.21080733567141,0.33096546945337,0.150927197115175,0.0668179415151831,-0.0491993087528999,0.482020731577547,-0.46909703435521,-0.997285441765268,-0.465642084955557
"4",4,0.141134983424936,0.813904712947518,0.48226373678054,-0.0713678095686535,-0.518214775752076,-0.545844887340459,-0.288872690268228,0.339768843505798,-0.250701543248142,-0.486938906888927,-1.1052820901699,0.200763033282146,0.135339613685616,-0.03572279430035,0.112665426928679,0.543622041416406,-0.440739550620887,-0.868034593487091,-0.455423880256424
"5",5,-0.244920348458162,0.760915008466885,0.397249166293906,0.00392616808353269,-1.19099999178118,-0.587229752780056,-1.00195035679469,-0.150442734287424,-0.599054889950222,-0.625738139460531,-1.38819354194343,0.897632937620664,-0.576941593233526,-0.705334970952825,-0.440985983367633,0.358309032719926,0.0926156427676349,-0.984322988545594,-0.505463828264124
"6",6,-0.167331668734412,0.272855481040892,-0.147185046742246,-0.429532897408284,-0.480226213845808,-0.713022076684319,-0.256756665826726,0.215552047775194,-0.41749040317049,-0.533027175972192,-1.14256411036696,1.07404636459825,-0.234196929025774,-0.120228872585087,-0.0959533580263283,0.344614168794081,-0.451429181821261,-0.0861260641793888,-0.363379207040873
"7",7,0.796360071924526,1.40951532688814,0.941425033559572,0.251553621153951,-1.63984820668238,-0.215533887168304,-0.572806327684126,0.155606276575547,0.45585500957738,-0.430504049501811,-0.81081887903548,0.821978473255681,-0.20584364540658,0.301017523566921,-0.279954256053855,0.795636436841345,-0.724370095412745,-1.119262969356,-0.413379244669668
"8",8,0.899366410878962,1.60272676778017,1.10994325325601,0.490696508188496,-1.43306487366079,-0.166597343186263,-0.398908418798554,0.334234342921711,0.488024641920908,-0.390295620431459,-0.756341442869922,0.497665661477486,0.0773619452171629,0.351414738052058,-0.0912457736691505,0.81823135124021,-0.555288406840674,-1.27363719478996,-0.410719991479291
"9",9,0.526806048633,1.29587464432375,0.839955220365674,0.0161801562009676,-0.118913621658041,-0.329776241939694,0.0307302677525952,1.14892328412537,0.216187370232482,-0.285845372249672,-0.439242632542823,0.815878710822503,0.00968130990541417,0.423001682265746,0.440233828409604,0.664919149700167,-0.0437025098947784,-0.113147854143019,-0.208133937466041
"10",10,0.530915413069989,1.25551148938456,0.934645601174231,-0.037444470275145,0.0247370591686371,-0.358863459598204,0.263095845829992,1.38619689733096,0.293530138876903,-0.262981772294739,-0.393050088003225,0.791732530871325,0.363656068573466,0.708565965809398,0.59834891969102,0.688978797555939,-0.12242844063907,-0.151547678664864,-0.188888634610887
