"","region","Synaptic_Density"
"1",1,0.898863382062551
"2",2,1.47981713083766
"3",3,0.787226895405814
"4",4,0.451419419624952
"5",5,0.985354675013281
"6",6,-0.531458105529404
"7",7,0.136487269997251
"8",8,0.869378858221432
"9",9,0.39059387718736
"10",10,0.746812460186992
"11",11,-0.036982410574523
"12",12,-0.33994806259197
"13",13,-0.0837048391487526
"14",14,0.260688047739724
"15",15,-0.744094312968749
"16",16,-0.153232202253098
"17",17,-0.402522696445989
"18",18,-0.492236689818064
"19",19,-0.162034285179611
"20",20,0.226797431909089
"21",21,0.290271356697239
"22",22,0.0670996389101154
"23",23,-0.535424641447067
"24",24,-0.110749689274039
"25",25,-0.167964845213392
"26",26,0.398048401590943
"27",27,-0.203830502546435
"28",28,-0.117079185104856
"29",29,0.393692574432827
"30",30,-0.115276465467591
"31",31,0.118244280025219
"32",32,0.325565197155392
"33",33,0.494030319844622
"34",34,0.125815296545863
"35",35,0.0662538810106729
"36",36,0.142795089253402
"37",37,1.81231373181331
"38",38,1.52962975413218
"39",39,0.153495250285039
"40",40,0.6070692412872
"41",41,0.624730538056266
"42",42,0.528362583714223
"43",43,0.299662167754313
"44",44,0.745962777301251
"45",45,-0.00641687599641229
"46",46,1.0773368185244
"47",47,1.02076183250119
"48",48,0.350279514817709
"49",49,0.302932420698593
"50",50,1.41441314973026
"51",51,0.839368538243797
"52",52,0.217029377055941
"53",53,0.352216324165568
"54",54,0.0578718600208144
"55",55,1.00070260161881
"56",56,-0.202122070748024
"57",57,-0.256388543952014
"58",58,0.21188469410756
"59",59,0.182473390519398
"60",60,-0.0408416907565818
"61",61,-1.1730112377497
"62",62,-0.453983514491623
"63",63,-0.394995664698743
"64",64,-0.433834000671621
"65",65,-0.925387344633466
"66",66,-0.91609296161167
"67",67,-1.70613957724938
"68",68,-1.36816316245813
"69",69,-1.18166839338971
"70",70,-1.10967963647642
"71",71,0.41572876475714
"72",72,0.281967400479613
"73",73,-0.66272428377228
"74",74,-1.06153767293809
"75",75,-0.467960537258693
"76",76,0.515642251620748
"77",77,-2.42376215821775
"78",78,-1.87355905470954
"79",79,-0.37669246883356
"80",80,-0.979223552296599
"81",81,-0.504494664178433
"82",82,1.27567684053901
"83",83,-1.9480827369543
"84",84,-0.449592856352421
"85",85,-0.536294374404454
"86",86,-0.590273128239779
"87",87,0.152713023252428
"88",88,0.863940205788347
"89",89,1.36800970361797
"90",90,1.03848967279797
"91",91,0.965854254484348
"92",92,0.6973162883537
"93",93,0.806404180400003
"94",94,0.809840745870704
"95",95,-0.748499463389789
"96",96,1.04108670172552
"97",97,-0.606820525871651
"98",98,-0.120767520219392
"99",99,0.964979003337842
"100",100,0.150008937933764
"101",101,0.911411008927698
"102",102,0.58085417763467
"103",103,0.183565333135011
"104",104,0.268177677665423
"105",105,0.670411580912318
"106",106,0.624800811528395
"107",107,-0.245426184042729
"108",108,-0.287873547367734
"109",109,0.233215985252644
"110",110,0.0809225016345652
"111",111,-0.69908635681094
"112",112,-0.275430834518144
"113",113,-0.538238208563275
"114",114,-0.29353143075422
"115",115,-1.34396261845841
"116",116,-0.996156873066977
"117",117,-0.986913259909192
"118",118,-1.33488652477871
"119",119,-1.05835883157837
"120",120,-0.551755544543539
"121",121,-0.202360755395943
"122",122,-0.131323063158174
"123",123,0.179378242617873
"124",124,0.412227583697001
"125",125,0.170693432394312
"126",126,0.033467915594619
"127",127,0.221010464760839
