,region,Density
311,311,1.053590634
312,312,1.206801472
313,313,0.441826243
314,314,-0.127068675
315,315,-0.137103805
316,316,-0.590285601
317,317,-0.845488661
318,318,-0.658852392
319,319,-1.475359036
320,320,-1.679364785
321,321,-1.573554138
322,322,-2.13370086
323,323,-0.62922747
324,324,-0.772421414
325,325,-1.809566679
326,326,-2.257498327
327,327,-2.250556365
328,328,-2.869072968
329,329,-0.53477013
330,330,-0.670334624
331,331,-0.688152465
332,332,-0.669642168
333,333,-0.46324008
334,334,-0.508636294
335,335,-0.612376639
336,336,-0.660272476
337,337,0.398060902
338,338,0.282065655
339,339,-0.903383906
340,340,-0.983141867
341,341,-0.409030718
342,342,-0.498657993
343,343,0.334393885
344,344,0.018247519
345,345,-1.344064523
346,346,-1.340028399
347,347,-1.358924474
348,348,-0.68064281
349,349,0.34277023
350,350,0.278920835
351,351,-1.018928395
352,352,-1.04956948
353,353,-1.276393334
354,354,-0.226592755
355,355,-0.564925376
356,356,-0.335396291
357,357,-0.925272977
358,358,-0.555186369
359,359,-1.584700473
360,360,-1.022456631
361,361,-1.854801293
362,362,-2.136828147
363,363,-0.679106519
364,364,-0.643904409
365,365,-1.434161819
366,366,-1.45432149
367,367,-1.343357038
368,368,-1.544238496
369,369,-1.91791229
370,370,-1.720811114
371,371,-2.031100961
372,372,-1.337187085
373,373,-1.894432442
374,374,-2.38528688
375,375,-1.993077109
376,376,-2.175208849
377,377,-1.606168402
378,378,-1.45362414
379,379,-0.90161106
380,380,-0.775984675
381,381,-2.256788661
382,382,-4.286114103
383,383,-1.671192397
384,384,-1.31720083
