,region,Density
273,273,0.787585722
274,274,0.672946191
275,275,-1.424230834
276,276,0.091180037
277,277,-0.0565242
278,278,0.829579382
279,279,0.148444111
280,280,1.074130269
281,281,0.343004221
282,282,0.389929823
283,283,-0.496136729
284,284,-0.375890076
285,285,1.089440577
286,286,1.058451489
287,287,0.555709898
288,288,0.89614003
289,289,-0.179194648
290,290,-0.0608183
291,291,0.459648746
292,292,0.710155732
293,293,0.339807857
294,294,0.5891236
295,295,-0.125918361
296,296,0.00726933
297,297,-0.273989561
298,298,-0.774998295
299,299,0.151257625
300,300,0.218459384
301,301,0.870033529
302,302,1.032984742
303,303,-1.317026831
304,304,-1.095190181
305,305,0.023892118
306,306,-0.146444176
307,307,0.859734299
308,308,0.871811867
309,309,-0.253116937
310,310,-0.494912786
311,311,1.25324209
312,312,0.675477636
313,313,0.783996711
314,314,-0.288498396
315,315,0.036670204
316,316,-0.744070773
317,317,-0.17033262
318,318,-0.213261304
319,319,-0.540235836
320,320,-0.636851001
321,321,-1.960352905
322,322,-2.373234116
323,323,0.058263269
324,324,0.009000324
325,325,-2.595050386
326,326,-2.449628263
327,327,-2.669660155
328,328,-3.280398779
329,329,0.107178675
330,330,0.047706363
331,331,-0.347830694
332,332,-0.591044739
333,333,-0.069361234
334,334,-0.348760183
335,335,-0.544227105
336,336,-0.401110282
337,337,0.679950982
338,338,0.89889549
339,339,0.194875892
340,340,0.221538304
341,341,0.525898708
342,342,0.601275996
343,343,0.887075632
344,344,0.786651369
345,345,-0.345952796
346,346,-0.198951372
347,347,-1.912737364
348,348,-0.564700561
349,349,-3.562696326
350,350,-1.306573723
351,351,0.074276526
352,352,0.135812702
353,353,-0.502079732
354,354,0.00270125
355,355,0.100614292
356,356,0.21257089
357,357,-0.081379671
358,358,-0.063769662
359,359,-1.381588408
360,360,-1.160320963
361,361,-1.135416701
362,362,-1.233051566
363,363,0.266624703
364,364,0.358772957
365,365,-0.3846971
366,366,-0.396924861
367,367,-1.784539182
368,368,-1.096782529
369,369,-1.150401423
370,370,-1.08048042
371,371,-1.515026547
372,372,-1.379622707
373,373,-0.684180251
374,374,-1.43656636
375,375,-0.944901622
376,376,-1.049412734
377,377,-0.578706995
378,378,-0.448096476
379,379,-0.155437661
380,380,-0.054025904
381,381,-4.76631803
382,382,-7.329678207
383,383,-1.616441861
384,384,-1.421906744
