"","task_mode","neuro_mode","regions"
"1",-0.00949768128079313,0.0866338997323757,1
"2",-0.0679995957099173,0.045305961224194,3
"3",-0.0945288926800292,-0.122441581222726,5
"4",0.0200312636961348,-0.0164958928276328,9
"5",-0.0433744040773728,-0.0360893361778548,11
"6",-0.0345432582082594,0.00569459578565296,13
"7",-0.0979510105842982,-0.0135225137991671,15
"8",-0.0579582215674558,0.00634611919291381,17
"9",0.036037065586516,0.0208361970900401,19
"10",0.0287450469245654,-0.0490943239341938,21
"11",-0.00847476794538369,-0.0219326068774825,23
"12",-0.0927026352540496,0.0385111953729267,25
"13",-0.0746521450882021,0.0797882763353303,27
"14",0.0044788674804642,-0.000213759499371084,29
"15",-0.10459239416362,-0.0486434315283403,31
"16",-0.230529176947318,-0.0376234380910361,33
"17",0.0756279214853733,-0.0248617502374551,37
"18",-0.0276375368742199,-0.0292696400199851,39
"19",0.0115857565338575,-0.0290083682620208,41
"20",0.11247135175581,0.0458261089763086,45
"21",0.0645011559343741,0.0147813243117348,47
"22",0.0439998124264726,-0.0800672153757251,51
"23",-0.0405889452269509,-0.030966220530542,53
"24",-0.0755756400742925,-0.228397362925233,55
"25",-0.12384905140469,-0.0565441968043389,57
"26",0.117480456357931,-0.0307511371886211,59
"27",-0.0754027724492687,-0.00938321322093851,61
"28",0.0474064929135982,-0.0253172065337801,63
"29",-0.191118817561761,-0.0768158790002618,65
"30",-0.348104026903564,-0.109219649473921,67
"31",-0.11545831205012,0.0207315077028829,69
"32",-0.024714461153512,-0.0112851609211785,71
"33",-0.209803974760065,-0.119302348011804,73
"34",-0.0838677807625878,0.0457907306302123,75
"35",-0.0159378802879215,0.0262491137181961,77
"36",-0.0776264057602179,-0.0335198525559798,79
"37",-0.144922862590598,-0.23691663446176,81
"38",-0.0551868768142563,0.0364394712980731,83
"39",-0.0694078880344825,-0.0208127518865755,85
"40",-0.0915051168620475,-0.0578594353897987,87
"41",-0.0382737713139556,-0.0695297086266766,89
"42",-0.0233101023408983,-0.0345800772445763,91
"43",-0.00559894871120336,-0.111977087413837,93
"44",-0.0652657101158978,-0.0219285270249186,95
"45",-0.0051921645188385,-0.229783504269296,97
"46",-0.28134546519352,-0.0537778065698277,99
"47",0.00965662925571811,-0.136669854089012,101
"48",-0.0349762386250775,-0.155108084052422,103
"49",-0.0286119653311152,-0.097787531056949,105
"50",0.0246681527606679,-0.245207062961285,107
"51",-0.0228308809032661,-0.0565610615362573,109
"52",0.0832052622275854,0.00106727908712896,111
"53",0.0234223124739113,0.0675220460002144,113
"54",0.0916106294000309,0.0611847054994655,115
"55",0.0902456362049222,-0.0785622931398156,117
