"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa.bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"73",153,-0.0340411786778398,0.278657402098514,0.197844279500453,0.159176219627911,0.282082432877201,0.013835575109082,-0.122854648393938,0.064759115722249,-0.144496474119939,0.01424333736038,-0.171462717847394,0.322287692540618,-0.453841443850206,-0.097910216009256,-0.10147946774128,-0.00674044856165601,-0.341478382017837,-0.070879527336659,0.04495367242101
"74",155,0.37681954402989,0.617766152456303,0.228191017458319,0.013308321238544,0.276626757807864,0.057041739880505,-0.311928705975385,0.419760482163533,-0.14816307739446,0.0551739934974989,-0.108344575938952,-0.0908443128880467,0.00251602057936395,-0.17909619066523,0.17636505466724,0.162079357739687,-0.234494074644177,-0.104905428362813,0.119295824617183
"75",157,0.0663038433354699,0.250530776027935,0.123662301837844,-0.0305129687032806,0.05906771276905,0.0899233062840523,-0.13626818948249,0.180408796488511,-0.311008069933317,-0.0278434084010072,-0.159880874683626,0.044168830682298,-0.224368468640272,-0.5125423987114,-0.18088572671296,-0.0332648821842021,-0.153890663847855,-0.075414097444416,0.018882550826472
"76",159,0.108666325030153,0.194138364398644,-0.016819227642294,-0.0209550690225939,-0.327093904441544,0.027677701237356,-0.184425307000025,0.063097289314586,-0.426240780832747,-0.0829247047296153,-0.181696300544331,-0.132616656588325,-0.43666610487583,-0.669776894851058,-0.25231077596509,-0.06207870125794,-0.011248841924472,-0.107494358017429,0.01909813229587
"77",161,0.19533305521898,-0.00520321388870015,-0.00998096628191014,-0.256616343821428,-0.248258195332317,0.0512931526868601,-0.063699453159959,0.23370248468313,-0.432674458157671,-0.0266196285004745,-0.0945412943564637,0.330210886116003,-0.386956518202028,-0.432488848294504,-0.0176709668539901,0.083864255601638,-0.46964603791619,0.271704669185325,0.0604603491335392
"78",163,-0.10998247905433,0.255109850335215,0.055230560792108,0.14603431742873,0.103609105959316,0.091585052919907,-0.323512008078222,-0.074888882740388,-0.352165187284206,0.024194778634058,-0.172937747092755,0.397904739566757,-0.357665604654167,-0.411891710823358,-0.226206509655584,-0.025828435631675,-0.287501444092588,0.027373456804652,0.052688502977843
"79",165,-0.135709415527931,-0.112897185956322,-0.200524257033463,-0.0649085246194925,-0.066415240467184,0.0570675352304325,-0.010860032519339,-0.0168404273578709,-0.305344915605374,-0.0258872532526319,0.0254758168849603,0.021740489994673,-0.383613424900089,-0.595022471666608,-0.027452625704924,0.078307299309611,-0.11036833775468,0.416248100925699,-0.015640975776532
"80",167,0.060682261222551,0.0438907925384378,0.00402150829999692,0.00221067568010902,-0.10116268039373,0.0902478048342666,0.09519146289617,0.474960275353408,-0.511580874497273,-0.0138477721528824,-0.181196745429922,0.471951568765615,-0.233049737388347,-0.188253544466627,-0.167533303485308,0.032435158539467,-0.301534291131033,0.016971345257373,-0.00853885626834999
"81",169,-0.2286478468854,-0.356915115180433,0.296684438623417,-0.251693989658201,-0.66894575125072,-0.157765915485997,-0.41116307276063,0.785451471293449,-0.692057928383301,-0.200808450542376,-0.278230415964161,0.23031181156961,-0.422177168942855,-0.923007046689989,0.662327539524821,-0.316253356616473,-0.675147263027405,0.90665066386336,-0.00787639841877508
"82",171,0.0120988729720699,0.330189412481481,0.26505400493105,0.101629447644746,0.120702304920023,-0.0709759015103624,-0.199598537489061,0.373732408143616,-0.376009286526482,0.032289481122432,-0.109142010265102,0.368179788011728,0.045050146626325,0.02908082600274,0.168966700715232,0.0246114357195449,0.055275731524911,0.229604884209464,0.016604728036092
